nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001144	Céline Dion	1968	\N	soundtrack,actress,composer	tt5463162,tt0120338,tt0182789,tt0101414
nm0001145	Divine	1945	1988	soundtrack,actor,writer	tt0095270,tt0072979,tt0082926,tt0069089
nm0001146	Donna Dixon	1957	\N	actress,soundtrack	tt0113987,tt0086491,tt0090056,tt0105793
nm0001147	Shannen Doherty	1971	\N	actress,producer,director	tt0098749,tt0158552,tt0084649,tt0113749
nm0001148	Troy Donahue	1936	2001	actor,soundtrack	tt0099329,tt0051948,tt0071562,tt0053320
nm0001149	Richard Donner	1930	2021	director,producer,actor	tt0089457,tt0078346,tt0839995,tt0093409
nm0001150	James Doohan	1920	2005	actor,soundtrack,miscellaneous	tt0060028,tt0084726,tt0092007,tt0102975
nm0001151	Stephen Dorff	1973	\N	actor,producer,soundtrack	tt1253864,tt1117385,tt0120611,tt1421051
nm0001152	Illeana Douglas	1961	\N	actress,producer,writer	tt0241760,tt0114681,tt0162346,tt0164181
nm0001153	Lesley-Anne Down	1954	\N	actress,soundtrack,writer	tt0092325,tt0088583,tt0075066,tt0079240
nm0001154	Michael Dudikoff	1954	\N	actor,assistant_director,producer	tt0158671,tt0088708,tt0086927,tt0095877
nm0001155	Patrick Duffy	1949	\N	actor,director,producer	tt1414382,tt0077000,tt0182576,tt0101205
nm0001156	Olympia Dukakis	1931	2021	actress,producer	tt0098384,tt1466054,tt0419843,tt0093565
nm0001157	Patty Duke	1946	2016	actress,soundtrack,producer	tt0058972,tt0056241,tt0073971,tt0062430
nm0001158	Keir Dullea	1936	\N	actor,soundtrack	tt0071222,tt0055892,tt0062622,tt0086837
nm0001159	Faye Dunaway	1941	\N	actress,producer,director	tt0082766,tt0061418,tt0074958,tt0071315
nm0001160	Adrian Dunbar	1958	\N	actor,director,soundtrack	tt0114279,tt0104036,tt0097937,tt0102014
nm0001161	Dominique Dunne	1959	1982	actress,soundtrack	tt0080203,tt0081873,tt0084516,tt0078622
nm0001162	Griffin Dunne	1955	\N	actor,director,producer	tt1333125,tt0082010,tt0088680,tt0790636
nm0001163	Roy Dupuis	1963	\N	actor,producer,director	tt0472562,tt0118379,tt0460505,tt0114367
nm0001164	Charles Durning	1923	2012	actor,soundtrack,miscellaneous	tt0190590,tt0072890,tt0120202,tt0079588
nm0001165	Charles S. Dutton	1951	\N	actor,producer,director	tt0103644,tt0348836,tt0117913,tt1038686
nm0001166	James Duval	1972	\N	actor,producer,writer	tt0116629,tt0187078,tt0303361,tt0246578
nm0001167	Shelley Duvall	1949	\N	producer,actress,writer	tt0075612,tt0081353,tt0075686,tt0081505
nm0001168	Bob Dylan	1941	\N	soundtrack,music_department,composer	tt0078151,tt0185014,tt0319829,tt0070518
nm0001169	George Dzundza	1945	\N	actor,assistant_director,soundtrack	tt0077416,tt0112792,tt0112740,tt0103772
nm0001170	Roger Ebert	1942	2013	writer,actor,producer	tt0065466,tt0090523,tt2382298,tt0075583
nm0001171	Buddy Ebsen	1908	2003	actor,soundtrack,producer	tt0055662,tt0027387,tt0054698,tt0027421
nm0001172	Christopher Eccleston	1964	\N	actor	tt0436992,tt0111149,tt0289043,tt1981115
nm0001173	Aaron Eckhart	1968	\N	actor,producer,soundtrack	tt0298814,tt0427944,tt0468569,tt0935075
nm0001174	Barbara Eden	1931	\N	actress,soundtrack,producer	tt0055608,tt0058815,tt0077660,tt0115341
nm0001175	Blake Edwards	1922	2010	writer,producer,director	tt0072081,tt0051301,tt0075066,tt0084865
nm0001176	Nicole Eggert	1972	\N	actress,producer	tt0099743,tt0086681,tt0096542,tt0103843
nm0001177	Chris Eigeman	1965	\N	actor,director,writer	tt0120728,tt0811128,tt0100142,tt0109219
nm0001178	Sergei Eisenstein	1898	1948	director,writer,editor	tt0015648,tt0037824,tt0018217,tt0029850
nm0001179	Anita Ekberg	1931	2015	actress,miscellaneous	tt0053779,tt0049934,tt0051985,tt0047889
nm0001180	Britt Ekland	1942	\N	actress,director,writer	tt0067128,tt0070917,tt0071807,tt0061594
nm0001181	Jack Elam	1920	2003	actor,soundtrack	tt0065051,tt0082136,tt0048261,tt0064116
nm0001182	Carmen Electra	1972	\N	actress,producer,soundtrack	tt0175142,tt0799949,tt1073498,tt0362120
nm0001183	Bodhi Elfman	1969	\N	actor,producer,writer	tt0120749,tt0120660,tt0111686,tt0369339
nm0001184	Jenna Elfman	1971	\N	actress,producer,soundtrack	tt1632708,tt0171433,tt0131369,tt0118303
nm0001185	Hector Elizondo	1936	\N	actor,soundtrack,director	tt0368933,tt0163187,tt0100405,tt0109254
nm0001186	Denholm Elliott	1922	1992	actor	tt0086465,tt0097576,tt0091867,tt0082971
nm0001187	Noah Emmerich	1965	\N	actor,director	tt0404203,tt2149175,tt1520211,tt0120382
nm0001188	Nora Ephron	1941	2012	writer,producer,director	tt0098635,tt0128853,tt0374536,tt1135503
nm0001189	Gabriel Yared	1949	\N	composer,music_department,soundtrack	tt0116209,tt0120632,tt0159365,tt0134119
nm0001190	David Prowse	1935	2020	actor,miscellaneous	tt0076759,tt0066921,tt0080684,tt0086190
nm0001191	Adam Sandler	1966	\N	actor,producer,writer	tt0185431,tt0120888,tt0142342,tt0120484
nm0001192	John Mark Robinson	1949	\N	actor,director,writer	tt14232752,tt0102205,tt0105442,tt0088008
nm0001193	Shelley Fabares	1944	\N	actress,producer,soundtrack	tt0096560,tt0051267,tt0059224,tt0068315
nm0001194	Jeff Fahey	1952	\N	actor,producer,miscellaneous	tt0411008,tt5465142,tt0111756,tt0437086
nm0001195	Douglas Fairbanks Jr.	1909	2000	actor,producer,soundtrack	tt0041363,tt0021079,tt0024962,tt0029442
nm0001196	Douglas Fairbanks	1883	1939	actor,producer,writer	tt0013556,tt0011439,tt0015400,tt0020030
nm0001197	Anna Falchi	1972	\N	actress,producer,executive	tt4142394,tt0111049,tt0109358,tt0109592
nm0001198	Debrah Farentino	1959	\N	actress,producer	tt0101516,tt0098789,tt0083397,tt0796264
nm0001199	Dennis Farina	1944	2013	actor,producer,soundtrack	tt0208092,tt0095631,tt0113161,tt0091474
nm0001200	Gary Farmer	1953	\N	actor,director,miscellaneous	tt0098112,tt0112817,tt0165798,tt0120321
nm0001201	Mia Farrow	1945	\N	actress,soundtrack	tt0097123,tt0091167,tt0089853,tt0063522
nm0001202	Rainer Werner Fassbinder	1945	1982	writer,director,actor	tt0064536,tt0079095,tt0072976,tt0071141
nm0001203	William Faulkner	1897	1962	writer	tt0038355,tt0051055,tt0037382,tt5208974
nm0001204	Marty Feldman	1934	1982	writer,actor,script_department	tt0072431,tt0076297,tt0129696,tt0080917
nm0001205	Norman Fell	1924	1998	actor,soundtrack	tt0053946,tt0061722,tt0075596,tt0062765
nm0001206	Abel Ferrara	1951	\N	director,writer,actor	tt0118734,tt0103759,tt0133122,tt0099939
nm0001207	José Ferrer	1912	1992	actor,soundtrack,director	tt0042367,tt0046816,tt0087182,tt0044926
nm0001208	Miguel Ferrer	1955	2017	actor,director,cinematographer	tt0107144,tt0284718,tt0181865,tt0093870
nm0001209	William Fichtner	1956	\N	actor,producer,director	tt0120591,tt1502404,tt0375679,tt0265086
nm0001210	Chelsea Field	1957	\N	actress,miscellaneous	tt0102266,tt0093507,tt0088944,tt0102005
nm0001211	W.C. Fields	1880	1946	actor,writer,soundtrack	tt0025318,tt0033945,tt0032828,tt0032234
nm0001212	Joseph Fiennes	1970	\N	actor,director,producer	tt3231054,tt0127536,tt0138097,tt0379889
nm0001213	Harvey Fierstein	1954	\N	actor,writer,soundtrack	tt0096289,tt0116629,tt0109348,tt0107614
nm0001214	Mike Figgis	1948	\N	director,writer,composer	tt2265565,tt0220100,tt0113627,tt0096180
nm0001215	Albert Finney	1936	2019	actor,producer,soundtrack	tt0066344,tt0319061,tt0071877,tt0195685
nm0001216	Tara Fitzgerald	1967	\N	actress,director,producer	tt0111201,tt0115744,tt1528100,tt0944947
nm0001217	Fionnula Flanagan	1941	\N	actress,producer,writer	tt0166396,tt0230600,tt0430105,tt1540133
nm0001218	Sean Patrick Flanery	1965	\N	actor,writer,producer	tt1300851,tt0114168,tt0120241,tt0144117
nm0001219	Gary Fleder	1965	\N	producer,director,miscellaneous	tt0313542,tt0119468,tt0160399,tt0114660
nm0001220	Ian Fleming	1908	1964	writer,miscellaneous	tt0381061,tt0086006,tt0059800,tt0055928
nm0001221	Louise Fletcher	1934	\N	actress	tt0106145,tt0093036,tt0073486,tt0139134
nm0001222	Calista Flockhart	1964	\N	actress,soundtrack,producer	tt0140379,tt0118254,tt4016454,tt0115685
nm0001223	Lara Flynn Boyle	1970	\N	actress,producer,soundtrack	tt0105793,tt0098936,tt0120912,tt0147612
nm0001224	Errol Flynn	1909	1959	actor,writer,producer	tt0041955,tt0026174,tt0029843,tt0040076
nm0001225	Nina Foch	1924	2008	actress,miscellaneous,soundtrack	tt0054331,tt0037932,tt0043278,tt0049833
nm0001226	James Foley	1953	\N	director,writer,producer	tt0098994,tt0090670,tt0104348,tt1856010
nm0001227	Megan Follows	1968	\N	actress,director,soundtrack	tt0092571,tt0088727,tt0090021,tt0158466
nm0001228	Peter Fonda	1940	2019	actor,director,writer	tt0486946,tt0120402,tt0381849,tt0064276
nm0001229	Glenn Ford	1916	2006	actor,producer,soundtrack	tt0038559,tt0045555,tt0055312,tt0078346
nm0001230	Harrison Ford	1884	1957	actor	tt0014572,tt0010837,tt0008351,tt0017201
nm0001231	Claire Forlani	1971	\N	actress,producer	tt0119643,tt0460780,tt0132347,tt0113749
nm0001232	Milos Forman	1932	2018	director,writer,actor	tt0079261,tt0073486,tt0086879,tt0117318
nm0001233	Robert Forster	1941	2019	actor,producer,director	tt2302755,tt0119396,tt0166924,tt1033575
nm0001234	John Forsythe	1918	2010	actor,soundtrack,producer	tt0048750,tt0081856,tt0305357,tt0061809
nm0001235	William Forsythe	1955	\N	actor,producer,soundtrack	tt0114660,tt0093822,tt0395584,tt0099422
nm0001236	Meg Foster	1948	\N	actress	tt3835080,tt0096256,tt0093507,tt1731697
nm0001237	Samantha Fox	1950	2020	actress,miscellaneous	tt0084842,tt0083606,tt0081622,tt0079356
nm0001238	Jesús Franco	1930	2013	writer,director,actor	tt0086428,tt0067846,tt0092311,tt0109441
nm0001239	John Frankenheimer	1930	2002	director,miscellaneous,producer	tt0119189,tt0116654,tt0058576,tt0056218
nm0001240	Dennis Franz	1944	\N	actor,writer,producer	tt0080661,tt0099423,tt0106079,tt0120632
nm0001241	Stephen Frears	1941	\N	director,producer,actor	tt2431286,tt0436697,tt0301199,tt0094947
nm0001242	Matt Frewer	1958	\N	actor,soundtrack,writer	tt2120120,tt0119282,tt0097523,tt0409459
nm0001243	William Friedkin	1935	\N	director,writer,producer	tt0070047,tt1726669,tt0090180,tt0067116
nm0001244	Sadie Frost	1965	\N	actress,producer,executive	tt0199727,tt0103874,tt0211577,tt0346156
nm0001245	Mira Furlan	1955	2021	actress	tt0120711,tt0091398,tt0105946,tt0121804
nm0001246	Dan Futterman	1967	\N	actor,producer,writer	tt0379725,tt0829459,tt0115685,tt0835434
nm0001247	Eva Gabor	1919	1995	actress,soundtrack	tt0065421,tt0076618,tt0100477,tt0058808
nm0001248	Zsa Zsa Gabor	1917	2016	actress,soundtrack	tt0093629,tt0052104,tt0052311,tt0102510
nm0001249	Monique Gabrielle	1963	\N	actress,producer,executive	tt0092860,tt0086927,tt0092962,tt0098332
nm0001250	Charlotte Gainsbourg	1971	\N	actress,soundtrack,writer	tt1527186,tt2382009,tt1937390,tt0870984
nm0001251	Peter Gallagher	1955	\N	actor,soundtrack,writer	tt1126591,tt0169547,tt0280590,tt0362359
nm0001252	Vincent Gallo	1961	\N	actor,director,soundtrack	tt1561768,tt0330099,tt0118789,tt0106307
nm0001253	Mason Gamble	1986	\N	actor	tt0119177,tt0117723,tt0106701,tt0128445
nm0001254	James Gandolfini	1961	2013	actor,producer,soundtrack	tt1764234,tt0141842,tt2390361,tt0236493
nm0001255	Victor Garber	1949	\N	actor,soundtrack,music_department	tt0250494,tt0120338,tt0285333,tt1024648
nm0001256	Greta Garbo	1905	1990	actress,soundtrack	tt0020641,tt0024481,tt0028683,tt0031725
nm0001257	Ava Gardner	1922	1990	actress,soundtrack,stunts	tt0046085,tt0058404,tt0053137,tt0043899
nm0001258	James Garner	1928	2014	actor,producer,soundtrack	tt0332280,tt0057115,tt0071042,tt0186566
nm0001259	Jennie Garth	1972	\N	actress,producer,writer	tt0321018,tt0098749,tt0985692,tt0369910
nm0001260	John Gavin	1931	2018	actor,soundtrack	tt0052296,tt0054331,tt0054215,tt0062362
nm0001261	Rebecca Gayheart	1971	\N	actress,director	tt0155776,tt0119807,tt7131622,tt0146336
nm0001262	Ben Gazzara	1930	2012	actor,director,soundtrack	tt0098206,tt0118715,tt0052561,tt0074749
nm0001263	Jason Gedrick	1965	\N	actor,director,writer	tt3502248,tt0773262,tt1578887,tt0101393
nm0001264	Sarah Michelle Gellar	1977	\N	actress,producer,soundtrack	tt0267913,tt0119345,tt0118276,tt0139134
nm0001265	Susan George	1950	\N	actress,producer,music_department	tt0067800,tt0071424,tt0073349,tt0082332
nm0001266	Gil Gerard	1943	\N	actor,producer,director	tt0077278,tt0075648,tt1277731,tt3799694
nm0001267	Balthazar Getty	1975	\N	actor,producer,music_department	tt0100994,tt0100054,tt0426459,tt0116922
nm0001268	Estelle Getty	1923	2008	actress,soundtrack	tt0089560,tt0088526,tt0093493,tt0105477
nm0001269	Cynthia Gibb	\N	\N	actress,soundtrack	tt0096101,tt0083412,tt0091886,tt0107065
nm0001270	Brian Gibson	1944	2004	director,writer,producer	tt0091778,tt0318224,tt0080469,tt0120679
nm0001271	Melissa Gilbert	1964	\N	actress,producer,director	tt0071007,tt8650976,tt8205246,tt0087630
nm0001272	Annabeth Gish	1971	\N	actress	tt0115639,tt0095690,tt3174376,tt0113987
nm0001273	Lillian Gish	1893	1993	actress,writer,soundtrack	tt0019585,tt0094315,tt0048424,tt0038499
nm0001274	Paul Michael Glaser	1943	\N	actor,producer,director	tt0093894,tt0335438,tt0067093,tt0072567
nm0001275	Philip Glass	1937	\N	composer,soundtrack,music_department	tt0465551,tt0274558,tt0443543,tt0120382
nm0001276	Jackie Gleason	1916	1987	music_department,actor,writer	tt0042114,tt0081529,tt0054997,tt0076729
nm0001277	Scott Glenn	1939	\N	actor,producer,stunts	tt0099810,tt0102926,tt0101393,tt0978764
nm0001278	John Glover	1944	\N	actor,soundtrack,miscellaneous	tt0099700,tt0096061,tt0113409,tt0120784
nm0001279	William Goldman	1931	2018	writer,miscellaneous,producer	tt0064115,tt0116409,tt0093779,tt0074119
nm0001280	Jenette Goldstein	1960	\N	actress	tt0103064,tt0090605,tt0093605,tt0111280
nm0001281	Bobcat Goldthwait	1962	\N	director,actor,writer	tt0102898,tt1912398,tt0096061,tt0119282
nm0001282	Tony Goldwyn	1960	\N	actor,director,writer	tt0472399,tt0325710,tt0216216,tt0099653
nm0001283	Louis Gossett Jr.	1936	\N	actor,producer,soundtrack	tt0084434,tt0085750,tt0075572,tt0089092
nm0001284	Michael Gough	1916	2011	actor	tt0096895,tt0088286,tt0118688,tt0112462
nm0001285	Elliott Gould	1938	\N	actor,soundtrack,producer	tt0240772,tt0496806,tt0066026,tt0070334
nm0001286	Elizabeth Gracen	1961	\N	actress,producer,director	tt0103442,tt2866360,tt0144714,tt8947100
nm0001287	Heather Graham	1970	\N	actress,soundtrack,producer	tt0118749,tt0145660,tt0131325,tt0120738
nm0001288	Kelsey Grammer	1955	\N	actor,producer,soundtrack	tt0376994,tt2109248,tt0106004,tt0083399
nm0001289	Stewart Granger	1913	1993	actor	tt0045125,tt0039594,tt0048087,tt0042646
nm0001290	Richard E. Grant	1957	\N	actor,soundtrack,director	tt0094336,tt0102070,tt0280707,tt4595882
nm0001291	Rupert Graves	1963	\N	actor,writer,director	tt0434409,tt0093512,tt1475582,tt0795368
nm0001292	Erin Gray	1950	\N	actress,talent_agent,soundtrack	tt0077278,tt0107254,tt0078579,tt1053835
nm0001293	Seth Green	1974	\N	actor,writer,producer	tt0437745,tt0118655,tt0317740,tt0320244
nm0001294	Graham Greene	1904	1991	writer,actor,producer	tt0172396,tt0258068,tt0041959,tt0040338
nm0001295	Graham Greene	1952	\N	actor,miscellaneous,writer	tt0110478,tt5362988,tt0099348,tt0120689
nm0001296	Lorne Greene	1915	1987	actor,soundtrack,producer	tt0052451,tt0077215,tt0071455,tt0047494
nm0001297	Joel Grey	1932	\N	actor,soundtrack	tt0068327,tt1024715,tt0168629,tt0089901
nm0001298	Richard Grieco	1965	\N	actor,producer,director	tt2294449,tt4702194,tt0102095,tt0120770
nm0001299	Thomas Ian Griffith	1962	\N	producer,actor,writer	tt0097647,tt0295701,tt0104215,tt0120877
nm0001300	John Grisham	1955	\N	writer,producer,actor	tt0313542,tt0119978,tt0117913,tt0106918
nm0001301	Charles Grodin	1935	2021	actor,writer,soundtrack	tt0095631,tt0068687,tt1791682,tt0074751
nm0001302	Christopher Guest	1948	\N	actor,writer,soundtrack	tt0310281,tt0088258,tt0218839,tt0118111
nm0001303	Carla Gugino	1971	\N	actress,producer,soundtrack	tt0409459,tt3748172,tt0765429,tt0401792
nm0001304	Fred Gwynne	1926	1993	actor,soundtrack,writer	tt0104952,tt0057773,tt0098084,tt0054528
nm0001305	Lukas Haas	1976	\N	actor,soundtrack,music_department	tt1375666,tt0116996,tt0090329,tt0393109
nm0001306	Larry Hagman	1931	2012	actor,producer,director	tt0078346,tt0113987,tt0119942,tt0077000
nm0001307	Stacy Haiduk	1968	\N	actress,producer,soundtrack	tt0069658,tt0100688,tt0455275,tt0058796
nm0001308	Alan Hale Jr.	1921	1990	actor,soundtrack	tt0057751,tt0082502,tt0078155,tt0073043
nm0001309	Anthony Michael Hall	1968	\N	actor,producer,soundtrack	tt0468569,tt4758646,tt2361317,tt1100089
nm0001310	Kevin Peter Hall	1955	1991	actor,soundtrack,miscellaneous	tt0100403,tt0093773,tt0093148,tt0081764
nm0001311	Philip Baker Hall	1931	2022	actor,soundtrack	tt0120812,tt0119256,tt0175880,tt0118749
nm0001312	Geri Horner	1972	\N	soundtrack,actress,writer	tt0120185,tt8106534,tt1121931,tt0243155
nm0001313	George Hamilton	1939	\N	actor,producer,soundtrack	tt0099674,tt0083366,tt0079489,tt0278823
nm0001314	John Hannah	1962	\N	actor,producer	tt1442449,tt0120616,tt0109831,tt0174856
nm0001315	Marcia Gay Harden	1959	\N	actress	tt0183659,tt0758758,tt0884328,tt0327056
nm0001316	Oliver Hardy	1892	1957	actor,soundtrack,director	tt0024601,tt0024852,tt0033022,tt0029747
nm0001317	Renny Harlin	1959	\N	producer,director,writer	tt1043726,tt0106582,tt0112760,tt0132245
nm0001318	Jean Harlow	1911	1937	actress,soundtrack	tt0026205,tt0027884,tt0028330,tt0023382
nm0001319	Mark Harmon	1951	\N	actor,producer,director	tt0111756,tt0360139,tt0322330,tt0364845
nm0001320	Valerie Harper	1939	2019	actress,soundtrack,writer	tt0071040,tt5342718,tt0071521,tt0065314
nm0001321	Richard Harris	1930	2002	actor,soundtrack,producer	tt0105695,tt0172495,tt0061439,tt0245844
nm0001322	Rex Harrison	1908	1990	actor,soundtrack,producer	tt0056937,tt0039420,tt0058385,tt0061584
nm0001323	Debbie Harry	1945	\N	soundtrack,actress,composer	tt0314412,tt0095270,tt0100740,tt0086541
nm0001324	Ian Hart	1964	\N	actor,writer,miscellaneous	tt0120660,tt5797184,tt0241527,tt0106339
nm0001325	Hal Hartley	1959	\N	director,producer,writer	tt0100842,tt0103130,tt0444628,tt0388973
nm0001326	Josh Hartnett	1978	\N	actor,producer	tt0133751,tt0265086,tt0389722,tt0425210
nm0001327	David Hasselhoff	1952	\N	actor,producer,writer	tt0083437,tt0096542,tt1714203,tt3896198
nm0001328	Howard Hawks	1896	1977	director,producer,writer	tt0038355,tt0061619,tt0040724,tt0053221
nm0001329	Nigel Hawthorne	1929	2001	actor,producer	tt0110428,tt0120772,tt0106697,tt0080306
nm0001330	Sterling Hayden	1916	1986	actor,writer,soundtrack	tt0049406,tt0068646,tt0042208,tt0057012
nm0001331	Todd Haynes	1961	\N	director,writer,producer	tt0120879,tt0368794,tt2402927,tt0297884
nm0001332	Robert Hays	1947	\N	actor,producer,director	tt0083530,tt0107131,tt0080339,tt0426592
nm0001333	Susan Hayward	1917	1975	actress,soundtrack	tt0051758,tt0048191,tt0045333,tt0041672
nm0001334	John Heard	1946	2017	actor,producer,soundtrack	tt0094737,tt0406816,tt0099077,tt0099785
nm0001335	Tippi Hedren	1930	\N	actress,producer	tt0301921,tt0083001,tt0058329,tt0056869
nm0001336	Van Heflin	1908	1971	actor,soundtrack	tt0050086,tt0040876,tt0043938,tt0046303
nm0001337	Katherine Heigl	1978	\N	actress,producer,soundtrack	tt1142988,tt0478311,tt0413573,tt1598828
nm0001338	Brian Helgeland	1961	\N	writer,director,producer	tt3569230,tt7991508,tt0183790,tt0453562
nm0001339	Marg Helgenberger	1958	\N	actress	tt0247082,tt0195685,tt0114508,tt0385267
nm0001340	Katherine Helmond	1929	2019	actress,director	tt0075584,tt0093693,tt0086827,tt0088846
nm0001341	Florence Henderson	1934	2016	actress,soundtrack,producer	tt0102898,tt0063878,tt0075485,tt0112572
nm0001342	Jimi Hendrix	1942	1970	soundtrack,music_department,composer	tt3450958,tt0409459,tt1131729,tt0066580
nm0001343	Carrie Henn	1976	\N	actress	tt4885144,tt10533976,tt0090605,tt11341742
nm0001344	Gregg Henry	1952	\N	actor,soundtrack,music_department	tt2015381,tt0439815,tt0120784,tt1837576
nm0001345	Jim Henson	1936	1990	actor,writer,producer	tt0083791,tt0074028,tt0063951,tt0079588
nm0001346	Edward Herrmann	1943	2014	actor,soundtrack,miscellaneous	tt0093437,tt0093693,tt0083564,tt0138524
nm0001347	Barbara Hershey	1948	\N	actress,soundtrack	tt0091167,tt0947798,tt0106856,tt0331811
nm0001348	Werner Herzog	1942	\N	director,writer,actor	tt0079641,tt0068182,tt0083946,tt0790724
nm0001349	Jennifer Love Hewitt	1979	\N	actress,producer,soundtrack	tt0460644,tt0125022,tt0119345,tt0290095
nm0001350	Benny Hill	1924	1992	writer,soundtrack,actor	tt0062803,tt0059797,tt0064505,tt0063869
nm0001351	George Roy Hill	1921	2002	director,actor,writer	tt0070735,tt0076723,tt0069280,tt0064115
nm0001352	Terence Hill	1939	\N	actor,director,miscellaneous	tt0070215,tt0069697,tt0067355,tt0057091
nm0001353	Walter Hill	1942	\N	producer,writer,director	tt0103644,tt0090605,tt0083511,tt0088194
nm0001354	Ciarán Hinds	1953	\N	actor,soundtrack	tt12789558,tt1340800,tt1201607,tt1596365
nm0001355	Michael Hoffman	1956	\N	director,writer,producer	tt0095916,tt0824758,tt0140379,tt0117247
nm0001356	Hulk Hogan	1953	\N	actor,producer,soundtrack	tt0097987,tt0084602,tt0099700,tt0103003
nm0001357	Paul Hogan	1939	\N	actor,writer,producer	tt0099018,tt0360032,tt0092493,tt0090555
nm0001358	Hal Holbrook	1925	2021	actor,director,writer	tt0758758,tt0083767,tt0443272,tt0074119
nm0001359	Sterling Holloway	1905	1992	actor,soundtrack,miscellaneous	tt0076363,tt0065421,tt0043274,tt0061852
nm0001360	John Holmes	1944	1988	actor,production_manager,assistant_director	tt0124491,tt0127170,tt0128724,tt0125269
nm0001361	Tobe Hooper	1943	2017	director,writer,producer	tt0092076,tt0089489,tt0084516,tt0072271
nm0001362	Bob Hope	1903	2003	actor,soundtrack,producer	tt0045094,tt0031143,tt0032520,tt0039645
nm0001363	Jane Horrocks	1964	\N	actress,soundtrack,writer	tt0100024,tt0120630,tt0147004,tt0121164
nm0001364	Bob Hoskins	1942	2014	actor,soundtrack,director	tt0096438,tt0081070,tt0108255,tt0091538
nm0001365	Whitney Houston	1963	2012	soundtrack,actress,producer	tt0120794,tt0114885,tt0117372,tt0103855
nm0001366	Leslie Howard	1893	1943	actor,producer,soundtrack	tt0034027,tt0030637,tt0031381,tt0025748
nm0001367	C. Thomas Howell	1966	\N	actor,producer,director	tt0087985,tt0091209,tt0083866,tt0086066
nm0001368	Ernie Hudson	1945	\N	actor,producer,soundtrack	tt0109506,tt0087332,tt0097428,tt7146326
nm0001369	Rock Hudson	1925	1985	actor,soundtrack,producer	tt0054759,tt0053172,tt0055100,tt0049261
nm0001370	Finola Hughes	1959	\N	actress,director,producer	tt1758692,tt0086361,tt0056758,tt0065272
nm0001371	Tom Hulce	1953	\N	actor,soundtrack,producer	tt0086879,tt0116583,tt0098067,tt0077975
nm0001372	Bonnie Hunt	1961	\N	producer,writer,actress	tt0095953,tt0113497,tt0116695,tt0120689
nm0001373	Linda Hunt	1945	\N	actress,soundtrack	tt0114148,tt0099938,tt0090022,tt0086617
nm0001374	Jeffrey Hunter	1926	1969	actor,producer,soundtrack	tt0055047,tt0056197,tt0049279,tt0049730
nm0001375	Kim Hunter	1922	2002	actress,soundtrack	tt0065462,tt0063442,tt0044081,tt0067065
nm0001376	Isabelle Huppert	1953	\N	actress,soundtrack,music_department	tt3716530,tt0254686,tt0283832,tt4120176
nm0001377	Olivia Hussey	1951	\N	actress,soundtrack	tt0071222,tt0063518,tt0077413,tt0070337
nm0001378	Anjelica Huston	1951	\N	actress,director,producer	tt0100944,tt0101272,tt0120631,tt0099703
nm0001379	John Huston	1906	1987	actor,director,writer	tt0040897,tt0042208,tt0071315,tt0043265
nm0001380	Jim Hutton	1934	1979	actor	tt0063060,tt0059250,tt0054469,tt0063035
nm0001381	Lauren Hutton	1943	\N	producer,actress,soundtrack	tt0080365,tt0083366,tt0120577,tt0089730
nm0001382	Peter Hyams	1943	\N	director,cinematographer,writer	tt0086837,tt0111438,tt0082869,tt0120004
nm0001383	David Hyde Pierce	1959	\N	actor,soundtrack,writer	tt0309530,tt0120623,tt0106004,tt0243655
nm0001384	Ice-T	1958	\N	actor,soundtrack,producer	tt0111323,tt0203259,tt0114614,tt0102526
nm0001385	Eric Idle	1943	\N	actor,writer,soundtrack	tt0085959,tt0096764,tt0071853,tt0079470
nm0001386	Natalie Imbruglia	1975	\N	actress,soundtrack,composer	tt0139239,tt0274166,tt0775080
nm0001387	Kathy Ireland	1963	\N	actress,soundtrack	tt0107659,tt0092532,tt0105151,tt0102517
nm0001388	Amy Irving	1953	\N	actress,soundtrack,producer	tt1185836,tt0094921,tt0074285,tt0181865
nm0001389	Chris Isaak	1956	\N	soundtrack,actor,producer	tt0100935,tt0105665,tt0107426,tt0120663
nm0001390	Janet Jackson	1966	\N	soundtrack,actress,composer	tt0144528,tt0107840,tt0906108
nm0001391	Michael Jackson	1958	2009	soundtrack,actor,composer	tt0078504,tt0095655,tt1477715
nm0001392	Peter Jackson	1961	\N	producer,director,writer	tt0120737,tt0167260,tt0360717,tt0092610
nm0001393	Irène Jacob	1966	\N	actress	tt0120873,tt0111495,tt0101765,tt0092593
nm0001394	Derek Jacobi	1938	\N	actor,soundtrack,producer	tt0101669,tt0280707,tt0172495,tt1521197
nm0001395	Richard Jaeckel	1926	1997	actor	tt0088172,tt0070518,tt0061578,tt0083530
nm0001396	Mick Jagger	1943	\N	soundtrack,actor,composer	tt0104299,tt0206634,tt0375173,tt0434409
nm0001397	Brion James	1945	1999	actor,producer	tt0119116,tt0099044,tt0108238,tt0083658
nm0001398	Jenna Jameson	1974	\N	actress,producer,director	tt0119951,tt0317688,tt0368859,tt0960890
nm0001399	Marianne Jean-Baptiste	1967	\N	actress,director,producer	tt0321021,tt0117589,tt1234721,tt0266987
nm0001400	Michelle Johnson	1965	\N	actress	tt0096426,tt0086973,tt0104070,tt0104231
nm0001401	Angelina Jolie	1975	\N	actress,producer,director	tt0172493,tt1587310,tt0944835,tt0824747
